,Series/Tournament,Season,Unnamed: 2,Winner,Margin
361,New Zealand in Bangladesh T20I Series,2021,,Bangladesh,3-2 (5)
362,Germany in Spain T20I Series,2021,,Spain,2-1 (3)
363,South Africa in Sri Lanka T20I Series,2021,,South Africa,3-0 (3)
364,"Uganda T20 Tri-Series (Kenya, Nigeria, Uganda)",2021,,Uganda,
365,Zimbabwe in Scotland T20I Series,2021,,Zimbabwe,2-1 (3)
366,New Zealand in Pakistan T20I Series,2021,,-,
367,Estonia in Cyprus T20I Series,2021/22,,Cyprus,2-0 (2)
368,Namibia in United Arab Emirates T20I Match,2021/22,,Namibia,1-0 (1)
369,"Cyprus T20 Tri-Series (Cyprus, Estonia, Isle of Man)",2021/22,,Isle of Man,
370,Papua New Guinea v Scotland T20I Match (in United Arab Emirates),2021/22,,Scotland,1-0 (1)
371,Namibia v Scotland T20I Match (in United Arab Emirates),2021/22,,Namibia,1-0 (1)
372,Ireland in United Arab Emirates T20I Series,2021/22,,U.A.E.,2-1 (3)
373,Namibia v Papua New Guinea T20I Match (in United Arab Emirates),2021/22,,Namibia,1-0 (1)
374,"ICC Men's T20 World Cup Europe Region Qualifier (Denmark, Germany, Italy, Jersey in Spain)",2021/22,,Jersey,
375,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group A (in Rwanda),2021/22,,Uganda,
376,"Valletta Cup (Bulgaria, Gibraltar, Malta, Switzerland in Malta)",2021/22,,Malta,
377,Gibraltar in Malta T20I Series,2021/22,,drawn,0-0 (2)
378,Sierra Leone in Nigeria T20I Series,2021/22,,Nigeria,5-1 (6)
379,"ICC Men's T20 World Cup Asia A Qualifier (Bahrain, Kuwait, Maldives, Qatar, Saudi Arabia in Qatar)",2021/22,,Bahrain,
380,"ICC Men's T20 World Cup Sub Regional Africa Qualifier Group B (Botswana, Cameroon, Mozambique, Sierra Leone, Tanzania in Rwanda)",2021/22,,Tanzania,
381,ICC Men's T20 World Cup (in Oman/United Arab Emirates),2021/22,,Australia,
382,ICC Men's T20 World Cup Americas Region Qualifier (in West Indies),2021/22,,U.S.A.,
383,"ICC Men's T20 World Cup Africa Region Qualifier (Kenya, Nigeria, Tanzania, Uganda in Rwanda)",2021/22,,Uganda,
384,New Zealand in India T20I Series,2021/22,,India,3-0 (3)
385,Pakistan in Bangladesh T20I Series,2021/22,,Pakistan,3-0 (3)
386,West Indies in Pakistan T20I Series,2021/22,,Pakistan,3-0 (3)
