,Series/Tournament,Season,Unnamed: 2,Winner,Margin
345,Australia in West Indies ODI Series,2003,,Australia,4-3 (7)
346,Sri Lanka in West Indies ODI Series,2003,,Sri Lanka,2-1 (3)
347,NatWest Challenge (Pakistan in England),2003,,England,2-1 (3)
348,"NatWest Series (England, South Africa, Zimbabwe in England)",2003,,England,
349,Bangladesh in Australia ODI Series,2003,,Australia,3-0 (3)
350,Bangladesh in Pakistan ODI Series,2003,,Pakistan,5-0 (5)
351,South Africa in Pakistan ODI Series,2003/04,,South Africa,3-2 (5)
352,England in Bangladesh ODI Series,2003/04,,England,3-0 (3)
353,"TVS Cup (India) (Australia, India, New Zealand in India)",2003/04,,Australia,
354,England in Sri Lanka ODI Series,2003/04,,Sri Lanka,1-0 (3)
355,West Indies in Zimbabwe ODI Series,2003/04,,West Indies,3-2 (5)
356,New Zealand in Pakistan ODI Series,2003/04,,Pakistan,5-0 (5)
357,Pakistan in New Zealand ODI Series,2003/04,,New Zealand,4-1 (5)
358,West Indies in South Africa ODI Series,2003/04,,South Africa,3-1 (5)
359,"VB Series (Australia, India, Zimbabwe in Australia)",2003/04,,Australia,
360,Australia in Sri Lanka ODI Series,2003/04,,Australia,3-2 (5)
361,South Africa in New Zealand ODI Series,2003/04,,New Zealand,5-1 (6)
362,Bangladesh in Zimbabwe ODI Series,2003/04,,Zimbabwe,2-1 (5)
363,India in Pakistan ODI Series,2003/04,,India,3-2 (5)
364,Sri Lanka in Zimbabwe ODI Series,2004,,Sri Lanka,5-0 (5)
365,England in West Indies ODI Series,2003/04,,drawn,2-2 (7)
366,Bangladesh in West Indies ODI Series,2004,,West Indies,3-0 (3)
367,Australia in Zimbabwe ODI Series,2004,,Australia,3-0 (3)
368,"NatWest Series (England, New Zealand, West Indies in England)",2004,,New Zealand,
369,"Asia Cup (Bangladesh, Hong Kong, India, Pakistan, Sri Lanka, United Arab Emirates in Sri Lanka)",2004,,Sri Lanka,
370,"Videocon Cup (Australia, India, Pakistan in Netherlands)",2004,,Australia,
371,South Africa in Sri Lanka ODI Series,2004,,Sri Lanka,5-0 (5)
372,"NatWest International (Australia, Pakistan in England)",2004,,Australia,
373,"NatWest Challenge (England, India, Wales in England)",2004,,England,2-1 (3)
374,ICC Champions Trophy (in England),2004,,West Indies,
375,"Paktel Cup (Pakistan, Sri Lanka, Zimbabwe in Pakistan)",2004/05,,Sri Lanka,
376,New Zealand in Bangladesh ODI Series,2004/05,,New Zealand,3-0 (3)
377,BCCI Platinum Jubilee Match (Pakistan in India),2004/05,,Pakistan,
378,England in Zimbabwe ODI Series,2004/05,,England,4-0 (4)
379,Chappell-Hadlee Trophy (New Zealand in Australia),2004/05,,drawn,1-1 (3)
380,India in Bangladesh ODI Series,2004/05,,India,2-1 (3)
381,Sri Lanka in New Zealand ODI Series,2004/05,,New Zealand,1-0 (1)
382,"World Cricket Tsunami Appeal (Asia XI, ICC World XI in Australia)",2004/05,,ICC World XI,
383,Zimbabwe in Bangladesh ODI Series,2004/05,,Bangladesh,3-2 (5)
384,"VB Series (Australia, Pakistan, West Indies in Australia)",2004/05,,Australia,
385,England in South Africa ODI Series,2004/05,,South Africa,4-1 (7)
386,Zimbabwe in South Africa ODI Series,2004/05,,South Africa,3-0 (3)
387,Australia in New Zealand ODI Series,2004/05,,Australia,5-0 (5)
388,Pakistan in India ODI Series,2004/05,,Pakistan,4-2 (6)
389,South Africa in West Indies ODI Series,2005,,South Africa,5-0 (5)
390,Pakistan in West Indies ODI Series,2005,,Pakistan,3-0 (3)
391,"NatWest Series (Australia, Bangladesh, England in England)",2005,,shared,
392,NatWest Challenge (Australia in England),2005,,Australia,2-1 (3)
393,"Indian Oil Cup (India, Sri Lanka, West Indies in Sri Lanka)",2005,,Sri Lanka,
394,"Afro-Asian Cup (Africa XI, Asia XI in South Africa)",2005,,drawn,1-1 (3)
395,Bangladesh in Sri Lanka ODI Series,2005,,Sri Lanka,3-0 (3)
396,"Videocon Triangular Series (India, New Zealand, Zimbabwe in Zimbabwe)",2005,,New Zealand,
397,ICC Super Series ODIs (ICC World XI in Australia),2005/06,,Australia,3-0 (3)
398,New Zealand in South Africa ODI Series,2005/06,,South Africa,4-0 (5)
399,Sri Lanka in India ODI Series,2005/06,,India,6-1 (7)
400,South Africa in India ODI Series,2005/06,,drawn,2-2 (5)
401,Chappell-Hadlee Trophy (Australia in New Zealand),2005/06,,Australia,2-1 (3)
402,England in Pakistan ODI Series,2005/06,,Pakistan,3-2 (5)
403,Sri Lanka in New Zealand ODI Series,2005/06,,New Zealand,4-1 (5)
404,"VB Series (Australia, South Africa, Sri Lanka in Australia)",2005/06,,Australia,
405,India in Pakistan ODI Series,2005/06,,India,4-1 (5)
406,Sri Lanka in Bangladesh ODI Series,2005/06,,Sri Lanka,2-1 (3)
407,Kenya in Zimbabwe ODI Series,2005/06,,drawn,2-2 (5)
408,West Indies in New Zealand ODI Series,2005/06,,New Zealand,4-1 (5)
409,Australia in South Africa ODI Series,2005/06,,South Africa,3-2 (5)
410,Pakistan in Sri Lanka ODI Series,2005/06,,Pakistan,2-0 (3)
411,Kenya in Bangladesh ODI Series,2005/06,,Bangladesh,4-0 (4)
412,England in India ODI Series,2005/06,,India,5-1 (7)
413,"DLF Cup (India, Pakistan in United Arab Emirates)",2005/06,,drawn,1-1 (2)
414,Australia in Bangladesh ODI Series,2005/06,,Australia,3-0 (3)
415,Zimbabwe in West Indies ODI Series,2006,,West Indies,5-0 (7)
416,"ICC Tri-Series (in West Indies) (Bermuda, Canada, Zimbabwe in West Indies)",2006,,Zimbabwe,
417,India in West Indies ODI Series,2006,,West Indies,4-1 (5)
418,England in Ireland ODI Match,2006,,England,1-0 (1)
419,Pakistan in Scotland ODI Match,2006,,Pakistan,1-0 (1)
420,NatWest Series [Sri Lanka in England],2006,,Sri Lanka,5-0 (5)
421,Sri Lanka in Netherlands ODI Series,2006,,Sri Lanka,2-0 (2)
422,Bangladesh in Zimbabwe ODI Series,2006,,Zimbabwe,3-2 (5)
423,Kenya in Canada ODI Series,2006,,Kenya,2-0 (2)
424,"European Championship Division One (Denmark, Ireland, Italy, Netherlands, Scotland in Scotland)",2006,,Ireland,
425,Bangladesh in Kenya ODI Series,2006,,Bangladesh,3-0 (3)
426,Bermuda in Canada ODI Series,2006,,Bermuda,2-0 (2)
427,ICC World Cricket League Americas Region Division One (in Canada),2006,,Bermuda,
428,India in Sri Lanka ODI Series,2006,,drawn,0-0 (3)
429,"Unitech Cup (India, South Africa, Sri Lanka in Sri Lanka)",2006,,abandoned,
430,NatWest Series [Pakistan in England],2006,,drawn,2-2 (5)
431,Zimbabwe in South Africa ODI Series,2006/07,,South Africa,3-0 (3)
432,"DLF Cup (Australia, India, West Indies in Malaysia)",2006/07,,Australia,
433,ICC Champions Trophy (in India),2006/07,,Australia,
434,Bermuda in Kenya ODI Series,2006/07,,Kenya,3-0 (3)
435,"ICC Tri-Series (in South Africa) (Bermuda, Canada, Netherlands in South Africa)",2006/07,,Netherlands,
436,India in South Africa ODI Series,2006/07,,South Africa,4-0 (5)
437,Zimbabwe in Bangladesh ODI Series,2006/07,,Bangladesh,5-0 (5)
438,West Indies in Pakistan ODI Series,2006/07,,Pakistan,3-1 (5)
439,Scotland in Bangladesh ODI Series,2006/07,,Bangladesh,2-0 (2)
440,Sri Lanka in New Zealand ODI Series,2006/07,,drawn,2-2 (5)
441,"Associates Tri-Series (in Kenya) (Canada, Kenya, Scotland in Kenya)",2006/07,,Kenya,
442,West Indies in India ODI Series,2006/07,,India,3-1 (4)
443,"ICC World Cricket League Division One (Bermuda, Canada, Ireland, Kenya, Netherlands, Scotland in Kenya)",2006/07,,Kenya,
444,Bangladesh in Zimbabwe ODI Series,2006/07,,Bangladesh,3-1 (4)
445,"Commonwealth Bank Series (Australia, England, New Zealand in Australia)",2006/07,,England,
446,Pakistan in South Africa ODI Series,2006/07,,South Africa,3-1 (5)
447,Sri Lanka in India ODI Series,2006/07,,India,2-1 (4)
448,Chappell-Hadlee Trophy (Australia in New Zealand),2006/07,,New Zealand,3-0 (3)
449,"Associates Tri-Series (in West Indies) (Bangladesh, Bermuda, Canada in West Indies)",2006/07,,Bangladesh,
450,ICC World Cup (in West Indies),2006/07,,Australia,
451,India in Bangladesh ODI Series,2007,,India,2-0 (3)
452,"Warid Cricket Series (Pakistan, Sri Lanka in United Arab Emirates)",2007,,Pakistan,2-1 (3)
453,"Afro-Asia Cup (Africa XI, Asia XI in India)",2007,,Asia XI,3-0 (3)
454,India in Ireland ODI Match,2007,,India,1-0 (1)
455,South Africa in Ireland ODI Match,2007,,South Africa,1-0 (1)
456,"Future Cup (India, South Africa in Ireland)",2007,,India,2-1 (3)
457,Pakistan in Scotland ODI Match,2007,,abandoned,0-0 (1)
458,"Future Friendship Cup (India, Pakistan in Scotland)",2007,,abandoned,0-0 (1)
459,Netherlands in Canada ODI Series,2007,,Netherlands,1-0 (2)
460,NatWest Series [West Indies in England],2007,,West Indies,2-1 (3)
461,"Quadrangular Series (Ireland) (Ireland, Netherlands, Scotland, West Indies in Ireland)",2007,,West Indies,
462,Bangladesh in Sri Lanka ODI Series,2007,,Sri Lanka,3-0 (3)
463,India in Scotland ODI Match,2007,,India,1-0 (1)
464,Bermuda in Netherlands ODI Series,2007,,Netherlands,2-0 (2)
465,South Africa in Zimbabwe ODI Series,2007,,South Africa,3-0 (3)
466,NatWest Series [India in England],2007,,England,4-3 (7)
467,England in Sri Lanka ODI Series,2007/08,,England,3-2 (5)
468,Australia in India ODI Series,2007/08,,Australia,4-2 (7)
469,Canada in Kenya ODI Series,2007/08,,Kenya,2-0 (2)
470,Bermuda in Kenya ODI Series,2007/08,,Kenya,3-0 (3)
471,South Africa in Pakistan ODI Series,2007/08,,South Africa,3-2 (5)
472,Pakistan in India ODI Series,2007/08,,India,3-2 (5)
473,New Zealand in South Africa ODI Series,2007/08,,South Africa,2-1 (3)
474,West Indies in Zimbabwe ODI Series,2007/08,,West Indies,3-1 (5)
475,Chappell-Hadlee Trophy (New Zealand in Australia),2007/08,,Australia,2-0 (3)
476,Bangladesh in New Zealand ODI Series,2007/08,,New Zealand,3-0 (3)
477,Zimbabwe in Pakistan ODI Series,2007/08,,Pakistan,5-0 (5)
478,West Indies in South Africa ODI Series,2007/08,,South Africa,5-0 (5)
479,England in New Zealand ODI Series,2007/08,,New Zealand,3-1 (5)
480,"Commonwealth Bank Series (Australia, India, Sri Lanka in Australia)",2007/08,,India,
481,South Africa in Bangladesh ODI Series,2007/08,,South Africa,3-0 (3)
482,Ireland in Bangladesh ODI Series,2007/08,,Bangladesh,3-0 (3)
483,Sri Lanka in West Indies ODI Series,2007/08,,West Indies,2-0 (3)
484,Bangladesh in Pakistan ODI Series,2007/08,,Pakistan,5-0 (5)
485,"Kitply Cup (Bangladesh, India, Pakistan in Bangladesh)",2008,,Pakistan,
486,NatWest Series [New Zealand in England],2008,,New Zealand,3-1 (5)
487,Bermuda in Canada ODI Series,2008,,Bermuda,2-1 (3)
488,"Associates Tri-Series (in Scotland) (Ireland, New Zealand, Scotland in Scotland)",2008,,New Zealand,
489,"Asia Cup (Bangladesh, Hong Kong, India, Pakistan, Sri Lanka, United Arab Emirates in Pakistan)",2008,,Sri Lanka,
490,Australia in West Indies ODI Series,2008,,Australia,5-0 (5)
491,European Championship Division One (in Ireland),2008,,Ireland,
492,Bermuda in Netherlands ODI Series,2008,,Netherlands,1-0 (2)
493,Canada in Ireland ODI Match,2008,,abandoned,0-0 (1)
494,Kenya in Scotland ODI Series,2008,,drawn,0-0 (2)
495,England in Scotland ODI Match,2008,,abandoned,0-0 (1)
496,Kenya in Netherlands ODI Match,2008,,Netherlands,1-0 (1)
497,"Scotiabank Series (Bermuda, Canada, West Indies in Canada)",2008,,West Indies,
498,Kenya in Ireland ODI Series,2008,,Ireland,1-0 (3)
499,India in Sri Lanka ODI Series,2008,,India,3-2 (5)
500,NatWest Series [South Africa in England],2008,,England,4-0 (5)
501,Bangladesh in Australia ODI Series,2008,,Australia,3-0 (3)
502,New Zealand in Bangladesh ODI Series,2008/09,,New Zealand,2-1 (3)
503,Tri-Nation Tournament in Kenya,2008/09,,shared,
504,Kenya in South Africa ODI Series,2008/09,,South Africa,2-0 (2)
505,Bangladesh in South Africa ODI Series,2008/09,,South Africa,2-0 (3)
506,Pakistan v West Indies ODI Series (in United Arab Emirates),2008/09,,Pakistan,3-0 (3)
507,Sri Lanka in Zimbabwe ODI Series,2008/09,,Sri Lanka,5-0 (5)
508,England in India ODI Series,2008/09,,India,5-0 (5)
509,West Indies in New Zealand ODI Series,2008/09,,New Zealand,2-1 (5)
510,Tri-Nation Tournament in Bangladesh,2008/09,,Sri Lanka,
511,Zimbabwe in Bangladesh ODI Series,2008/09,,Bangladesh,2-1 (3)
512,Sri Lanka in Pakistan ODI Series,2008/09,,Sri Lanka,2-1 (3)
513,South Africa in Australia ODI Series,2008/09,,South Africa,4-1 (5)
514,Zimbabwe in Kenya ODI Series,2008/09,,Zimbabwe,5-0 (5)
515,India in Sri Lanka ODI Series,2008/09,,India,4-1 (5)
516,Chappell-Hadlee Trophy (New Zealand in Australia),2008/09,,drawn,2-2 (5)
517,India in New Zealand ODI Series,2008/09,,India,3-1 (5)
518,England in West Indies ODI Series,2008/09,,England,3-2 (5)
519,Australia in South Africa ODI Series,2008/09,,South Africa,3-2 (5)
520,ICC World Cup Qualifiers (in South Africa),2009,,Ireland,
521,Australia v Pakistan ODI Series (in United Arab Emirates),2009,,Australia,3-2 (5)
522,NatWest Series [West Indies in England],2009,,England,2-0 (3)
523,India in West Indies ODI Series,2009,,India,2-1 (4)
524,Canada in Scotland ODI Series,2009,,drawn,1-1 (2)
525,Canada in Netherlands ODI Series,2009,,Netherlands,1-0 (2)
526,Kenya in Ireland ODI Series,2009,,Ireland,3-0 (3)
527,Bangladesh in West Indies ODI Series,2009,,Bangladesh,3-0 (3)
528,Pakistan in Sri Lanka ODI Series,2009,,Sri Lanka,3-2 (5)
529,Bangladesh in Zimbabwe ODI Series,2009,,Bangladesh,4-1 (5)
530,Ireland in Scotland ODI Series,2009,,Ireland,1-0 (2)
531,Kenya in Canada ODI Series,2009,,Canada,1-0 (3)
532,England in Ireland ODI Match,2009,,England,1-0 (1)
533,Australia in Scotland ODI Match,2009,,Australia,1-0 (1)
534,Afghanistan in Netherlands ODI Series,2009,,drawn,1-1 (2)
535,"Compaq Cup (India, New Zealand, Sri Lanka in Sri Lanka)",2009,,India,
536,NatWest Series [Australia in England],2009,,Australia,6-1 (7)
537,ICC Champions Trophy (in South Africa),2009/10,,Australia,
538,Kenya in Zimbabwe ODI Series,2009/10,,Zimbabwe,4-1 (5)
539,Zimbabwe in Bangladesh ODI Series,2009/10,,Bangladesh,4-1 (5)
540,Pakistan v New Zealand ODI Series (in United Arab Emirates),2009/10,,New Zealand,2-1 (3)
541,Zimbabwe in South Africa ODI Series,2009/10,,South Africa,2-0 (2)
542,Australia in India ODI Series,2009/10,,Australia,4-2 (7)
543,England in South Africa ODI Series,2009/10,,England,2-1 (5)
544,Sri Lanka in India ODI Series,2009/10,,India,3-1 (5)
545,Tri-Nation Tournament in Bangladesh,2009/10,,Sri Lanka,
546,Pakistan in Australia ODI Series,2009/10,,Australia,5-0 (5)
547,Bangladesh in New Zealand ODI Series,2009/10,,New Zealand,3-0 (3)
548,Afghanistan v Canada ODI Series (in United Arab Emirates),2009/10,,drawn,1-1 (2)
549,Netherlands in Kenya ODI Series,2009/10,,drawn,1-1 (2)
550,West Indies in Australia ODI Series,2009/10,,Australia,4-0 (5)
551,South Africa in India ODI Series,2009/10,,India,2-1 (3)
552,England in Bangladesh ODI Series,2009/10,,England,3-0 (3)
553,Chappell-Hadlee Trophy (Australia in New Zealand),2009/10,,Australia,3-2 (5)
554,Zimbabwe in West Indies ODI Series,2009/10,,West Indies,4-1 (5)
555,Canada in West Indies ODI Match,2009/10,,West Indies,1-0 (1)
556,Ireland in West Indies ODI Match,2009/10,,West Indies,1-0 (1)
557,South Africa in West Indies ODI Series,2010,,South Africa,5-0 (5)
558,"Zimbabwe Triangular Series (India, Sri Lanka, Zimbabwe)",2010,,Sri Lanka,
559,Scotland in Netherlands ODI Match,2010,,Netherlands,1-0 (1)
560,Australia in Ireland ODI Match,2010,,Australia,1-0 (1)
561,England in Scotland ODI Match,2010,,England,1-0 (1)
562,"Asia Cup (Bangladesh, India, Pakistan, Sri Lanka in Sri Lanka)",2010,,India,
563,NatWest Series [Australia in England],2010,,England,3-2 (5)
564,"ICC World Cricket League Division One (Afghanistan, Canada, Ireland, Kenya, Netherlands, Scotland in Netherlands)",2010,,Ireland,
565,NatWest Series [Bangladesh in England],2010,,England,2-1 (3)
566,Bangladesh in Ireland ODI Series,2010,,drawn,1-1 (2)
567,Bangladesh in Scotland ODI Match,2010,,abandoned,0-0 (1)
568,Bangladesh v Netherlands ODI Match (in Scotland),2010,,Netherlands,1-0 (1)
569,Afghanistan in Scotland ODI Series,2010,,drawn,1-1 (2)
570,Netherlands in Ireland ODI Series,2010,,Ireland,2-0 (2)
571,"Sri Lanka Triangular Series (India, New Zealand, Sri Lanka)",2010,,Sri Lanka,
572,Ireland in Canada ODI Series,2010,,drawn,1-1 (2)
573,NatWest Series [Pakistan in England],2010,,England,3-2 (5)
574,Ireland in Zimbabwe ODI Series,2010/11,,Zimbabwe,2-1 (3)
575,Afghanistan in Kenya ODI Series,2010/11,,Kenya,2-1 (3)
576,New Zealand in Bangladesh ODI Series,2010/11,,Bangladesh,4-0 (5)
577,Zimbabwe in South Africa ODI Series,2010/11,,South Africa,3-0 (3)
578,Australia in India ODI Series,2010/11,,India,1-0 (3)
579,Sri Lanka in Australia ODI Series,2010/11,,Sri Lanka,2-1 (3)
580,Pakistan v South Africa ODI Series (in United Arab Emirates),2010/11,,South Africa,3-2 (5)
581,New Zealand in India ODI Series,2010/11,,India,5-0 (5)
582,Zimbabwe in Bangladesh ODI Series,2010/11,,Bangladesh,3-1 (5)
583,India in South Africa ODI Series,2010/11,,South Africa,3-2 (5)
584,Pakistan in New Zealand ODI Series,2010/11,,Pakistan,3-2 (6)
585,England in Australia ODI Series,2010/11,,Australia,6-1 (7)
586,West Indies in Sri Lanka ODI Series,2010/11,,Sri Lanka,2-0 (3)
587,"Chappell-Hadlee Trophy (Australia, New Zealand in India)",2010/11,,Australia,1-0 (1)
588,ICC Cricket World Cup (in Bangladesh/India/Sri Lanka),2010/11,,India,
589,Australia in Bangladesh ODI Series,2011,,Australia,3-0 (3)
590,Pakistan in West Indies ODI Series,2011,,Pakistan,3-2 (5)
591,Pakistan in Ireland ODI Series,2011,,Pakistan,2-0 (2)
592,India in West Indies ODI Series,2011,,India,3-2 (5)
593,NatWest Series [Sri Lanka in England],2011,,England,3-2 (5)
594,Tri-Nation Tournament in Scotland,2011,,Sri Lanka,
595,Bangladesh in Zimbabwe ODI Series,2011,,Zimbabwe,3-2 (5)
596,Australia in Sri Lanka ODI Series,2011,,Australia,3-2 (5)
597,England in Ireland ODI Match,2011,,England,1-0 (1)
598,Pakistan in Zimbabwe ODI Series,2011,,Pakistan,3-0 (3)
599,NatWest Series [India in England],2011,,England,3-0 (5)
600,West Indies in Bangladesh ODI Series,2011/12,,West Indies,2-1 (3)
601,England in India ODI Series,2011/12,,India,5-0 (5)
602,New Zealand in Zimbabwe ODI Series,2011/12,,New Zealand,2-1 (3)
603,Australia in South Africa ODI Series,2011/12,,Australia,2-1 (3)
604,Pakistan v Sri Lanka ODI Series (in United Arab Emirates),2011/12,,Pakistan,4-1 (5)
605,Pakistan in Bangladesh ODI Series,2011/12,,Pakistan,3-0 (3)
606,West Indies in India ODI Series,2011/12,,India,4-1 (5)
607,Sri Lanka in South Africa ODI Series,2011/12,,South Africa,3-2 (5)
608,Zimbabwe in New Zealand ODI Series,2011/12,,New Zealand,3-0 (3)
609,Pakistan v Afghanistan ODI Match (in United Arab Emirates),2011/12,,Pakistan,1-0 (1)
610,Pakistan v England ODI Series (in United Arab Emirates),2011/12,,England,4-0 (4)
611,South Africa in New Zealand ODI Series,2011/12,,South Africa,3-0 (3)
612,"Commonwealth Bank Series (Australia, India, Sri Lanka in Australia)",2011/12,,Australia,
613,"Asia Cup (Bangladesh, India, Pakistan, Sri Lanka in Bangladesh)",2011/12,,Pakistan,
614,Australia in West Indies ODI Series,2011/12,,drawn,2-2 (5)
615,Pakistan in Sri Lanka ODI Series,2012,,Sri Lanka,3-1 (5)
616,NatWest Series [West Indies in England],2012,,England,2-0 (3)
617,Australia in Ireland ODI Match,2012,,abandoned,0-0 (1)
618,NatWest Series [Australia in England],2012,,England,4-0 (5)
619,New Zealand in West Indies ODI Series,2012,,West Indies,4-1 (5)
620,India in Sri Lanka ODI Series,2012,,India,4-1 (5)
621,Afghanistan v Australia ODI Match (in United Arab Emirates),2012,,Australia,1-0 (1)
622,Pakistan v Australia ODI Series (in United Arab Emirates),2012,,Australia,2-1 (3)
623,NatWest Series [South Africa in England],2012,,drawn,2-2 (5)
624,New Zealand in Sri Lanka ODI Series,2012/13,,Sri Lanka,3-0 (5)
625,West Indies in Bangladesh ODI Series,2012/13,,Bangladesh,3-2 (5)
626,Pakistan in India ODI Series,2012/13,,Pakistan,2-1 (3)
627,Sri Lanka in Australia ODI Series,2012/13,,drawn,2-2 (5)
628,New Zealand in South Africa ODI Series,2012/13,,New Zealand,2-1 (3)
629,England in India ODI Series,2012/13,,India,3-2 (5)
630,West Indies in Australia ODI Series,2012/13,,Australia,5-0 (5)
631,England in New Zealand ODI Series,2012/13,,England,2-1 (3)
632,Zimbabwe in West Indies ODI Series,2012/13,,West Indies,3-0 (3)
633,Pakistan in South Africa ODI Series,2012/13,,South Africa,3-2 (5)
634,Bangladesh in Sri Lanka ODI Series,2012/13,,drawn,1-1 (3)
635,Bangladesh in Zimbabwe ODI Series,2013,,Zimbabwe,2-1 (3)
636,Pakistan in Scotland ODI Series,2013,,Pakistan,1-0 (2)
637,Pakistan in Ireland ODI Series,2013,,Pakistan,1-0 (2)
638,Netherlands v South Africa ODI Match (in Netherlands),2013,,South Africa,1-0 (1)
639,NatWest Series [New Zealand in England],2013,,New Zealand,2-1 (3)
640,ICC Champions Trophy (in England),2013,,India,
641,"West Indies Tri-Nation Series (India, Sri Lanka, West Indies)",2013,,India,
642,Pakistan in West Indies ODI Series,2013,,Pakistan,3-1 (5)
643,South Africa in Sri Lanka ODI Series,2013,,Sri Lanka,4-1 (5)
644,India in Zimbabwe ODI Series,2013,,India,5-0 (5)
645,Pakistan in Zimbabwe ODI Series,2013,,Pakistan,2-1 (3)
646,Australia in Scotland ODI Match,2013,,Australia,1-0 (1)
647,RSA Challenge (England in Ireland),2013,,England,1-0 (1)
648,NatWest Series [Australia in England],2013,,Australia,2-1 (5)
649,ICC World Cricket League Championship,2011-2013/14,,Ireland,
650,Australia in India ODI Series,2013/14,,India,3-2 (7)
651,New Zealand in Bangladesh ODI Series,2013/14,,Bangladesh,3-0 (3)
652,Pakistan v South Africa ODI Series (in United Arab Emirates),2013/14,,South Africa,4-1 (5)
653,New Zealand in Sri Lanka ODI Series,2013/14,,drawn,1-1 (3)
654,West Indies in India ODI Series,2013/14,,India,2-1 (3)
655,Pakistan in South Africa ODI Series,2013/14,,Pakistan,2-1 (3)
656,India in South Africa ODI Series,2013/14,,South Africa,2-0 (3)
657,Pakistan v Sri Lanka ODI Series (in United Arab Emirates),2013/14,,Pakistan,3-2 (5)
658,West Indies in New Zealand ODI Series,2013/14,,drawn,2-2 (5)
659,England in Australia ODI Series,2013/14,,Australia,4-1 (5)
660,India in New Zealand ODI Series,2013/14,,New Zealand,4-0 (5)
661,ICC Cricket World Cup Qualifier (in New Zealand),2013/14,,Scotland,
662,Sri Lanka in Bangladesh ODI Series,2013/14,,Sri Lanka,3-0 (3)
663,Ireland in West Indies ODI Match,2013/14,,West Indies,1-0 (1)
664,England in West Indies ODI Series,2013/14,,England,2-1 (3)
665,"Asia Cup (Afghanistan, Bangladesh, India, Pakistan, Sri Lanka in Bangladesh)",2013/14,,Sri Lanka,
666,"Asian Cricket Council Premier League (Afghanistan, Hong Kong, Malaysia, Nepal, Oman, United Arab Emirates in Malaysia)",2014,,Afghanistan,
667,Sri Lanka in Ireland ODI Series,2014,,Sri Lanka,1-0 (2)
668,England in Scotland ODI Match,2014,,England,1-0 (1)
669,Sri Lanka in England ODI Series,2014,,Sri Lanka,3-2 (5)
670,India in Bangladesh ODI Series,2014,,India,2-0 (3)
671,South Africa in Sri Lanka ODI Series,2014,,South Africa,2-1 (3)
672,Afghanistan in Zimbabwe ODI Series,2014,,drawn,2-2 (4)
673,South Africa in Zimbabwe ODI Series,2014,,South Africa,3-0 (3)
674,Bangladesh in West Indies ODI Series,2014,,West Indies,3-0 (3)
675,Pakistan in Sri Lanka ODI Series,2014,,Sri Lanka,2-1 (3)
676,India in England ODI Series,2014,,India,3-1 (5)
677,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe)",2014,,South Africa,
678,Scotland in Ireland ODI Series,2014,,Ireland,2-1 (3)
679,Pakistan v Australia ODI Series (in United Arab Emirates),2014/15,,Australia,3-0 (3)
680,West Indies in India ODI Series,2014/15,,India,2-1 (5)
681,South Africa in New Zealand ODI Series,2014/15,,South Africa,2-0 (3)
682,Hong Kong v Papua New Guinea ODI Series (in Australia),2014/15,,P.N.G.,2-0 (2)
683,Sri Lanka in India ODI Series,2014/15,,India,5-0 (5)
684,South Africa in Australia ODI Series,2014/15,,Australia,4-1 (5)
685,Zimbabwe in Bangladesh ODI Series,2014/15,,Bangladesh,5-0 (5)
686,United Arab Emirates v Afghanistan ODI Series (in United Arab Emirates),2014/15,,U.A.E.,3-1 (4)
687,England in Sri Lanka ODI Series,2014/15,,Sri Lanka,5-2 (7)
688,Pakistan v New Zealand ODI Series (in United Arab Emirates),2014/15,,New Zealand,3-2 (5)
689,"Dubai Triangular Series (Afghanistan, Ireland, Scotland in United Arab Emirates)",2014/15,,Ireland,
690,West Indies in South Africa ODI Series,2014/15,,South Africa,4-1 (5)
691,Sri Lanka in New Zealand ODI Series,2014/15,,New Zealand,4-2 (7)
692,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia)",2014/15,,Australia,
693,Pakistan in New Zealand ODI Series,2014/15,,New Zealand,2-0 (2)
694,Chappell-Hadlee Trophy (Australia in New Zealand),2014/15,,New Zealand,1-0 (1)
695,ICC Cricket World Cup (in Australia/New Zealand),2014/15,,Australia,
696,Pakistan in Bangladesh ODI Series,2015,,Bangladesh,3-0 (3)
697,England in Ireland ODI Match,2015,,abandoned,0-0 (1)
698,Zimbabwe in Pakistan ODI Series,2015,,Pakistan,2-0 (3)
699,New Zealand in England ODI Series,2015,,England,3-2 (5)
700,India in Bangladesh ODI Series,2015,,Bangladesh,2-1 (3)
701,India in Zimbabwe ODI Series,2015,,India,3-0 (3)
702,South Africa in Bangladesh ODI Series,2015,,Bangladesh,2-1 (3)
703,Pakistan in Sri Lanka ODI Series,2015,,Pakistan,3-2 (5)
704,New Zealand in Zimbabwe ODI Series,2015,,New Zealand,2-1 (3)
705,New Zealand in South Africa ODI Series,2015,,South Africa,2-1 (3)
706,Australia in Ireland ODI Match,2015,,Australia,1-0 (1)
707,Australia in England ODI Series,2015,,Australia,3-2 (5)
708,Pakistan in Zimbabwe ODI Series,2015/16,,Pakistan,2-1 (3)
709,Ireland in Zimbabwe ODI Series,2015/16,,Zimbabwe,2-1 (3)
710,Afghanistan in Zimbabwe ODI Series,2015/16,,Afghanistan,3-2 (5)
711,South Africa in India ODI Series,2015/16,,South Africa,3-2 (5)
712,West Indies in Sri Lanka ODI Series,2015/16,,Sri Lanka,3-0 (3)
